D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.00
37846|2001|Ford|Ranger|truck|Yellow|172544|1995.00
10001|2020|BMW|X5|SUV|Black|25000|7500.00
10002|2019|Mercedes-Benz|E-Class|Car|Silver|34000|6800.00
10003|2021|Audi|Q7|SUV|White|15000|8200.00
10004|2018|Lexus|RX|SUV|Maroon|41000|6200.00
10005|2022|Tesla|Model 3|Car|Blue|12000|9500.00
10006|2017|Jaguar|F-Type|Car|Red|22000|10500.00
10007|2020|Porsche|Cayenne|SUV|Black|18000|8900.00
10008|2019|Land Rover|Range Rover|SUV|Gray|32000|7700.00
10009|2021|Maserati|Ghibli|Car|Silver|15000|9000.00
10010|2016|Infiniti|QX60|SUV|White|45000|5900.00
10011|2018|Dodge|Ram|Truck|Black|37000|6500.00
10012|2020|Chevrolet|Express|Van|White|28000|7200.00
10013|2019|Mercedes-Benz|Sprinter|Van|Silver|34000|6800.00
10014|2021|Toyota|Sienna|Van|Blue|15000|7300.00
10015|2017|Nissan|Titan|Truck|Gray|41000|6400.00
20230|2025|Bugatti|Chiron|car|Black|400|20000.0

